1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
영화다.	영화/NNG+이/VCP+다/EF+./SF
누아르풍의	누아르/NNG+풍/XSN+의/JKG
음습한	음습/XR+하/XSA+ㄴ/ETM
담아,	담/VV+아/EC+,/SP
1950년대	1950/SN+년대/NNB
회귀한다.	회귀/NNG+하/XSV+ㄴ다/EF+./SF
쌍둥이	쌍둥이/NNG
남매인	남매/NNG+이/VCP+ㄴ/ETM
캐럴	캐럴/NNG
거손	거손/NNG
4살	4/SN+살/NNB
바람피우던	바람/NNG+피우/VV+던/ETM
광경을	광경/NNG+을/JKO
목격한다.	목격/NNG+하/XSV+ㄴ다/EF+./SF
성인이	성인/NNG+이/JKC
마틴의	마틴/NNP+의/JKG
회상으로	회상/NNG+으로/JKB
재현되는데,	재현/NNG+되/XSV+는데/EC+,/SP
잔뜩	잔뜩/MAG
튄	튀/VV+ㄴ/ETM
남매의	남매/NNG+의/JKG
냉소적인	냉소/NNG+적/XSN+이/VCP+ㄴ/ETM
독백이	독백/NNG+이/JKS
발가벗고	발가벗/VV+고/EC
우스웠다.	우습/VA+었/EP+다/EF+./SF
남매는	남매/NNG+는/JX
자라면서	자라/VV+면서/EC
근친상간적	근친상간/NNG+적/XSN
곳곳에서	곳곳/NNG+에서/JKB
암시된다.	암시/NNG+되/XSV+ㄴ다/EF+./SF
둘은	둘/NR+은/JX
했다가	하/VV+았/EP+다가/EC
지지리도	지지리/MAG+도/JX
캐럴은	캐럴/NNG+은/JX
매춘부로	매춘부/NNG+로/JKB
나서고,	나서/VV+고/EC+,/SP
마틴은	마틴/NNP+은/JX
기자에서	기자/NNG+에서/JKB
사기꾼으로	사기/NNG+꾼/XSN+으로/JKB
전락한다.	전락/NNG+하/XSV+ㄴ다/EF+./SF
마틴이나	마틴/NNP+이나/JC
살만큼	살/VV+만큼/NNB
선한	선/NNG+하/XSA+ㄴ/ETM
뻔뻔하고	뻔뻔/XR+하/XSA+고/EC
잔인하기까지	잔인/NNG+하/XSA+기/ETN+까지/JX
끝간데없이	끝간데없이/MAG
한구석에	한구석/NNG+에/JKB
짐을	짐/NNG+을/JKO
얹어놓는다.	얹/VV+어/EC+놓/VX+는다/EF+./SF
시골도시와,	시골/NNG+도시/NNG+와/JC+,/SP
느껴지기도	느끼/VV+어/EC+지/VX+기/ETN+도/JX
전개가	전개/NNG+가/JKS
거칠고	거칠/VA+고/EC
묘사도	묘사/NNG+도/JX
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
청색과	청색/NNG+과/JC
붉은색이	붉은색/NNG+이/JKS
50년대를	50/SN+년대/NNB+를/JKO
풍미하던	풍미/NNG+하/XSV+던/ETM
페기	페기/NNP
리와	리/NNP+와/JC
쳇	쳇/NNP
베이커의	베이커/NNP+의/JKG
재즈음악,	재즈/NNG+음악/NNG+,/SP
에바	에바/NNP
가드너를	가드너/NNP+를/JKO
캐럴의	캐럴/NNP+의/JKG
외모	외모/NNG
공들여	공들이/VV+어/EC
의상과	의상/NNG+과/JC
세트가	세트/NNG+가/JKS
음산한	음산/XR+하/XSA+ㄴ/ETM
누아르의	누아르/NNG+의/JKG
살려낸다.	살리/VV+어/EC+내/VX+ㄴ다/EF+./SF
(그리프터스)	(/SS+그리프터스/NNP+)/SS
(겟어웨이)의	(/SS+겟어웨이/NNP+)/SS+의/JKG
원작자인	원작자/NNG+이/VCP+ㄴ/ETM
톰슨이	톰슨/NNP+이/JKS
55년에	55/SN+년/NNB+에/JKB
썼다가,	쓰/VV+었/EP+다가/EC+,/SP
83년에	83/SN+년/NNB+에/JKB
출간된	출간/NNG+되/XSV+ㄴ/ETM
디스	디스/NNG
월드,	월드/NNG+,/SP
덴	덴/NNG
파이어웍스	파이어웍스/NNG
원작이다.	원작/NNG+이/VCP+다/EF+./SF
오블로비츠의	오블로비츠/NNP+의/JKG
데뷔작이다.	데뷔작/NNG+이/VCP+다/EF+./SF
영그는	영글/VV+는/ETM
인생이야기	인생/NNG+이야기/NNG
랩.힙합	랩/NNG+./SP+힙합/NNG
놀부전	놀부전/NNP
과거를~:	과거/NNG+를/JKO+~/SO+:/SP
연기파	연기파/NNG
출연	출연/NNG
쪽	쪽/NNG
빛~	빛/NNG+~/SO
해학으로	해학/NNG+으로/JKB
노인문제	노인/NNG+문제/NNG
진지할	진지/XR+하/XSA+ㄹ/ETM
인생	인생/NNG
마당극과	마당극/NNG+과/JC
올린다면?	올리/VV+ㄴ다면/EF+?/SF
해학과	해학/NNG+과/JC
풍자가	풍자/NNG+가/JKS
추고	추/VV+고/EC
이따금씩	이따금/MAG+씩/XSN
코끝이	코끝/NNG+이/JKS
찡한	찡/MAG+하/XSA+ㄴ/ETM
감동도	감동/NNG+도/JX
막간을	막간/NNG+을/JKO
웃다울다	웃/VV+다/EC+울/VV+다/EC
넘기다보면	넘기/VV+다/EC+보/VX+면/EC
세상살이는	세상살이/NNG+는/JX
성큼	성큼/MAG
다가서기도	다가서/VV+기/ETN+도/JX
인생이다.	인생/NNG+이/VCP+다/EF+./SF
놀부전을	놀부전/NNP+을/JKO
(대박)과	(/SS+대박/NNG+)/SS+과/JC
여인의	여인/NNG+의/JKG
마세요	말/VX+시/EP+어요/EC
노인문제를	노인/NNG+문제/NNG+를/JKO
전통연희로	전통/NNG+연희/NNG+로/JKB
조명한	조명/NNG+하/XSV+ㄴ/ETM
마당극	마당극/NNG
(쪽빛황혼)	(/SS+쪽빛/NNG+황혼/NNG+)/SS
되새길	되새기/VV+ㄹ/ETM
3편이	3/SN+편/NNB+이/JKS
깊어가는	깊/VA+어/EC+가/VX+는/ETM
서울예술단이	서울예술단/NNP+이/JKS
고전인	고전/NNG+이/VCP+ㄴ/ETM
(대박)은	(/SS+대박/NNG+)/SS+은/JX
판소리와	판소리/NNG+와/JC
힙합이	힙합/NNG+이/JKS
빚어내는	빚어내/VV+는/ETM
재미나는	재미나/VV+는/ETM
코미디다.	코미디/NNG+이/VCP+다/EF+./SF
과천공연예술제에	과천/NNP+공연/NNG+예술제/NNG+에/JKB
초청돼	초청/NNG+되/XSV+어/EC
독일인	독일인/NNG
디에트마	디에트마/NNP
렌츠가	렌츠/NNP+가/JKS
흥부와	흥부/NNP+와/JC
놀부의	놀부/NNP+의/JKG
구조를	구조/NNG+를/JKO
따르되	따르/VV+되/EC
급성장에	급성장/NNG+에/JKB
고갈	고갈/NNG
상태를	상태/NNG+를/JKO
박을	박/NNG+을/JKO
보여줌으로써	보이/VV+어/EC+주/VX+ㅁ/ETN+으로써/JKB
놀부전이라는	놀부전/NNP+이/VCP+라는/ETM
고전이	고전/NNG+이/JKS
해학성에다	해학/NNG+성/XSN+에다/JKB
가미했다.	가미/NNG+하/XSV+았/EP+다/EF+./SF
10월1~17일	10/SN+월/NNB+1/SN+~/SO+17/SN+일/NNB
월.화.수.목	월/NNG+./SP+화/NNG+./SP+수/NNG+./SP+목/NNG
금.토	금/NNG+./SP+토/NNG
일.공휴일	일/NNG+./SP+공휴일/NNG
동숭아트센터.	동숭아트센터/NNP+./SF
(02)523-0986.	(/SS+02/SN+)/SS+523/SN+-/SS+0986/SN+./SF
우리식으로	우리식/NNG+으로/JKB
뒤바꾼	뒤바꾸/VV+ㄴ/ETM
안방극장에서	안방극장/NNG+에서/JKB
배우들과	배우/NNG+들/XSN+과/JC
예맥의	예맥/NNP+의/JKG
대표이기도	대표/NNG+이/VCP+기/ETN+도/JX
임동진씨와	임동진/NNP+씨/NNB+와/JC
송재호,	송재호/NNP+,/SP
김자옥,	김자옥/NNP+,/SP
이정길,	이정길/NNP+,/SP
조형기씨	조형기/NNP+씨/NNB
10월3일~8일	10/SN+월/NNB+3/SN+일/NNB+~/SO+8/SN+일/NNB
(02)706-5333.	(/SS+02/SN+)/SS+706/SN+-/SS+5333/SN+./SF
류기형	류기형/NNP
작.연출	작/NNG+./SP+연출/NNG
전통연희	전통/NNG+연희/NNG
개발공모	개발/NNG+공모/NNG
당선작으로	당선작/NNG+으로/JKB
뽑힐	뽑히/VV+ㄹ/ETM
토속적인	토속/NNG+적/XSN+이/VCP+ㄴ/ETM
무겁고,	무겁/VA+고/EC+,/SP
어둡고,	어둡/VA+고/EC+,/SP
외로운	외롭/VA+ㄴ/ETM
풍자로	풍자/NNG+로/JKB
재치있게	재치/NNG+있/VV+게/EC
풀어냈다.	풀어내/VV+었/EP+다/EF+./SF
10년간	10/SN+년/NNB+간/NNG
1000여차례나	1000/SN+여/XSN+차례/NNG+나/JX
전국순회	전국/NNG+순회/NNG
민족예술단	민족/NNG+예술단/NNG
우금치의	우금치/NNP+의/JKG
연륜이	연륜/NNG+이/JKS
연희의	연희/NNG+의/JKG
맛볼수	맛보/VV+ㄹ/ETM+수/NNB
10월6,	10/SN+월/NNB+6/SN+,/SP
7시30분.	7/SN+시/NNB+30/SN+분/NNB+./SF
놀이마당.	놀이마당/NNG+./SP
(02)2274-1172.	(/SS+02/SN+)/SS+2274/SN+-/SS+1172/SN+./SF
홍대선	홍대선/NNP
hongds@hani.co.kr	hongds/SL+@/SW+hani/SL+./SP+co/SL+./SP+kr/SL
33	33/SN
1123자	1123/SN+자/NNG
무용팬들에게는	무용/NNG+팬/NNG+들/XSN+에게/JKB+는/JX
기회이고,	기회/NNG+이/VCP+고/EC+,/SP
팬은	팬/NNG+은/JX
아닐지라도	아니/VCN+ㄹ지라도/EC
춤에	춤/NNG+에/JKB
번의	번/NNB+의/JKG
공연관람을	공연/NNG+관람/NNG+을/JKO
다가갈	다가가/VV+ㄹ/ETM
삼을	삼/VV+을/ETM
올해가	올해/NNG+가/JKS
3회째로	3/SN+회/NNB+째/XSN+로/JKB
축제에서	축제/NNG+에서/JKB
H.	H/SL+./SP
케이오스	케이오스/NNP
무용단	무용단/NNG
페드로	페드로/NNP
포웰스	포웰스/NNP
필립	필립/NNP
드쿠플레	드쿠플레/NNP
DCA무용단	DCA/SL+무용단/NNG
무용의	무용/NNG+의/JKG
주최쪽은	주최/NNG+쪽/NNB+은/JX
기획하면서	기획/NNG+하/XSV+면서/EC
찾기는	찾/VV+기/ETN+는/JX
기울였다.	기울이/VV+었/EP+다/EF+./SF
23일~10월24일	23/SN+일/NNB+~/SO+10/SN+월/NNB+24/SN+일/NNB
토월극장과	토월극장/NNP+과/JC
자유소극장,	자유소극장/NNP+,/SP
해오름극장,	해오름극장/NNP+,/SP
대극장,	대/XPN+극장/NNG+,/SP
우면당,	우면당/NNG+,/SP
호암아트홀	호암아트홀/NNP
공연장에서	공연장/NNG+에서/JKB
1926자	1926/SN+자/NNG
###	#/SW+#/SW+#/SW
1만4500년전	1/SN+만/NR+4500/SN+년/NNB+전/NNG
과학문명이	과학/NNG+문명/NNG+이/JKS
2500년에	2500/SN+년/NNB+에/JKB
이집트	이집트/NNP
문명을	문명/NNG+을/JKO
오래된	오래/MAG+되/XSV+ㄴ/ETM
인류문명으로	인류/NNG+문명/NNG+으로/JKB
정통	정통/NNG
역사학계에서	역사학/NNG+계/XSN+에서/JKB
황당하게	황당/XR+하/XSA+게/EC
캄보디아의	캄보디아/NNP+의/JKG
와트,	와트/NNP+,/SP
중남미의	중남미/NNP+의/JKG
아스텍	아스텍/NNG
문명들이	문명/NNG+들/XSN+이/JKS
피라미드와	피라미드/NNG+와/JKB
상응관계를	상응/NNG+관계/NNG+를/JKO
지녔다는	지니/VV+었/EP+다는/ETM
이르면	이르/VV+면/EC
놀랍다.	놀랍/VA+다/EF+./SF
고대문명에	고대/NNG+문명/NNG+에/JKB
뼈대로	뼈대/NNG+로/JKB
10년간에	10/SN+년/NNB+간/NNG+에/JKB
대륙을	대륙/NNG+을/JKO
추적한	추적/NNG+하/XSV+ㄴ/ETM
천문학과	천문학/NNG+과/JC
영원불멸성	영원불멸/NNG+성/XSN
연관성에	연관/NNG+성/XSN+에/JKB
풀어헤쳐	풀어헤치/VV+어/EC
여행에서	여행/NNG+에서/JKB
혁명을	혁명/NNG+을/JKO
보았다	보/VV+았/EP+다/EC
라틴아메리카가	라틴아메리카/NNP+가/JKS
혁명가	혁명가/NNG
살바도르	살바도르/NNP
아옌데(1909~73)와	아옌데/NNP+(/SS+1909/SN+~/SO+73/SN+)/SS+와/JC
게바라(1928~67)는	게바라/NNP+(/SS+1928/SN+~/SO+67/SN+)/SS+는/JX
공통점이	공통점/NNG+이/JKS
고통받는	고통/NNG+받/VV+는/ETM
민중에	민중/NNG+에/JKB
연민을	연민/NNG+을/JKO
나섰다는	나서/VV+었/EP+다는/ETM
점에서는	점/NNG+에서/JKB+는/JX
휴머니스트였지만,	휴머니스트/NNG+이/VCP+었/EP+지만/EC+,/SP
쪽은	쪽/NNB+은/JX
게바라일	게바라/NNP+이/VCP+ㄹ/ETM
이글거리는	이글거리/VV+는/ETM
불더미	불더미/NNG
생애를	생애/NNG+를/JKO
통째로	통째/NNG+로/JKB
던져버린	던지/VV+어/EC+버리/VX+ㄴ/ETM
낭만성의	낭만/NNG+성/XSN+의/JKG
극점을	극점/NNG+을/JKO
때문일까?	때문/NNB+이/VCP+ㄹ까/EF+?/SF
전선에	전선/NNG+에/JKB
뛰어들기	뛰어들/VV+기/ETN
게바라는	게바라/NNP+는/JX
라틴아메리카를	라틴아메리카/NNP+를/JKO
종단하는	종단/NNG+하/XSV+는/ETM
원주민과	원주민/NNG+과/JC
노동자와	노동자/NNG+와/JC
병자들을	병자/NNG+들/XSN+을/JKO
체험하면서,	체험/NNG+하/XSV+면서/EC+,/SP
막연하게	막연/XR+하/XSA+게/EC
꿈꿨던	꿈꾸/VV+었/EP+던/ETM
진보적	진보/NNG+적/XSN
이재석	이재석/NNP
호킹과	호킹/NNP+과/JKB
결별했는가	결별/NNG+하/XSV+았/EP+는가/EC
1965년	1965/SN+년/NNB
웨스트필드	웨스트필드/NNP
칼리지의	칼리지/NNG+의/JKG
여대생	여대/NNG+생/XSN
제인은	제인/NNP+은/JX
열애	열애/NNG
케임브리지대	케임브리지대/NNP
남편될	남편/NNG+되/VV+ㄹ/ETM
근육.운동신경무력증이란	근육/NNG+./SP+운동/NNG+신경/NNG+무력증/NNG+이/VCP+란/ETM
희귀병을	희귀/XR+병/NNG+을/JKO
앓는다는	앓/VV+는다는/ETM
알았지만	알/VV+았/EP+지만/EC
우주에	우주/NNG+에/JKB
열정과	열정/NNG+과/JC
풋풋한	풋풋/XR+하/XSA+ㄴ/ETM
함박웃음에	함박웃음/NNG+에/JKB
흠뻑	흠뻑/MAG
터라	터/NNB+이/VCP+라/EC
30년이	30/SN+년/NNB+이/JKS
물리학자로	물리학자/NNG+로/JKB
결별한다.	결별/NNG+하/XSV+ㄴ다/EF+./SF
내조를	내조/NNG+를/JKO
가사에만	가사/NNG+에/JKB+만/JX
전념했지만	전념/NNG+하/XSV+았/EP+지만/EC
허깨비	허깨비/NNG
장식처럼	장식/NNG+처럼/JKB
감내하지	감내/NNG+하/XSV+지/EC
온몸이	온몸/NNG+이/JKS
마비된	마비/NNG+되/XSV+ㄴ/ETM
식사,	식사/NNG+,/SP
목욕,	목욕/NNG+,/SP
빗기	빗/VV+기/ETN
챙기며	챙기/VV+며/EC
제왕처럼	제왕/NNG+처럼/JKB
자기숭배를	자기/NP+숭배/NNG+를/JKO
강요했던	강요/NNG+하/XSV+았/EP+던/ETM
스티븐의	스티븐/NNP+의/JKG
권위욕과	권위욕/NNG+과/JC
기벽으로	기벽/NNG+으로/JKB
번뇌의	번뇌/NNG+의/JKG
떠받친	떠받치/VV+ㄴ/ETM
초인적	초인/NNG+적/XSN
존경하면서도	존경/NNG+하/XSV+면서/EC+도/JX
걱정만	걱정/NNG+만/JX
가득했던	가득/MAG+하/XSA+았/EP+던/ETM
잠자리	잠자리/NNG
추억과	추억/NNG+과/JC
간병인과의	간병인/NNG+과/JKB+의/JKG
다툼	다툼/NNG
제인의	제인/NNP+의/JKG
술회에서	술회/NNG+에서/JKB
내밀한	내밀/NNG+하/XSA+ㄴ/ETM
1558자	1558/SN+자/NNG
패션의	패션/NNG+의/JKG
정의는	정의/NNG+는/JX
통속적이다.	통속/NNG+적/XSN+이/VCP+다/EF+./SF
모델이	모델/NNG+이/JKS
맵시를	맵시/NNG+를/JKO
의상쇼는	의상쇼/NNP+는/JX
전형이다.	전형/NNG+이/VCP+다/EF+./SF
첨단의	첨단/NNG+의/JKG
인식되는	인식/NNG+되/XSV+는/ETM
지난날은	지난날/NNG+은/JX
우스꽝스런	우스꽝스럽/VA+ㄴ/ETM
요지경의	요지경/NNG+의/JKG
연속이었다.	연속/NNG+이/VCP+었/EP+다/EF+./SF
중세	중세/NNG
남자들은	남자/NNG+들/XSN+은/JX
엉덩이가	엉덩이/NNG+가/JKS
수영복	수영복/NNG
선호했고	선호/NNG+하/XSV+았/EP+고/EC
사타구니	사타구니/NNG
가리개를	가리개/NNG+를/JKO
멋의	멋/NNG+의/JKG
귀부인들은	귀부인/NNG+들/XSN+은/JX
곰팡이가	곰팡이/NNG+가/JKS
무릅쓰고	무릅쓰/VV+고/EC
대형장식물을	대형/NNG+장식물/NNG+을/JKO
달고다니기도	달/VV+고/EC+다니/VV+기/ETN+도/JX
추구한	추구/NNG+하/XSV+ㄴ/ETM
비롯된	비롯/XR+되/XSV+ㄴ/ETM
패션사의	패션사/NNG+의/JKG
저작으로	저작/NNG+으로/JKB
정치.경제.문화사를	정치/NNG+./SP+경제/NNG+./SP+문화사/NNG+를/JKO
투영한	투영/NNG+하/XSV+ㄴ/ETM
암호로	암호/NNG+로/JKB
정치.경제사와	정치/NNG+./SP+경제사/NNG+와/JC
교직된	교직/NNG+되/XSV+ㄴ/ETM
문화풍속사의	문화/NNG+풍속사/NNG+의/JKG
미로	미로/NNG
속을	속/NNG+을/JKO
한달음에	한달음/NNG+에/JKB
내달려간다.	내달려가/VV+ㄴ다/EF+./SF
패션은	패션/NNG+은/JX
당대를	당대/NNG+를/JKO
사상과	사상/NNG+과/JC
시대정신에	시대정신/NNG+에/JKB
옷의	옷/NNG+의/JKG
규정관계를	규정/NNG+관계/NNG+를/JKO
드러내곤	드러내/VV+고/EC+ㄴ/JX
민족연합군의	민족/NNG+연합군/NNG+의/JKG
원정으로	원정/NNG+으로/JKB
특수성에	특수/NNG+성/XSN+에/JKB
생겨났고	생겨나/VV+았/EP+고/EC
유행욕구를	유행/NNG+욕구/NNG+를/JKO
형성했다는	형성/NNG+하/XSV+았/EP+다는/ETM
근대의	근대/NNG+의/JKG
패션사는	패션사/NNG+는/JX
감각적	감각/NNG+적/XSN
통제하려는	통제/NNG+하/XSV+려는/ETM
왕실의	왕실/NNG+의/JKG
복식관과	복식관/NNG+과/JC
일반적	일반/NNG+적/XSN
욕망이	욕망/NNG+이/JKS
엇나가는	엇나가/VV+는/ETM
양상을	양상/NNG+을/JKO
주름잡던	주름잡/VV+던/ETM
왕가의	왕가/NNG+의/JKG
복식은	복식/NNG+은/JX
먹기	먹/VV+기/ETN
목칼라와	목칼라/NNG+와/JC
조이는	조이/VV+는/ETM
경직된	경직/NNG+되/XSV+ㄴ/ETM
코르셋	코르셋/NNG
강요했지만	강요/NNG+하/XSV+았/EP+지만/EC
프랑스가	프랑스/NNP+가/JKS
지배한	지배/NNG+하/XSV+ㄴ/ETM
바로크와	바로크/NNG+와/JC
로코코시대	로코코/NNG+시대/NNG
모방심리는	모방/NNG+심리/NNG+는/JX
복식	복식/NNG
자유화와	자유/NNG+화/XSN+와/JKB
심화된다.	심화/NNG+되/XSV+ㄴ다/EF+./SF
받침과	받침/NNG+과/JKB
심은	심/VV+은/ETM
방식까지	방식/NNG+까지/JX
패션유행	패션/NNG+유행/NNG
편입된다.	편입/NNG+되/XSV+ㄴ다/EF+./SF
의상은	의상/NNP+은/JX
기능성보다	기능/NNG+성/XSN+보다/JKB
첫인상이	첫인상/NNG+이/JKS
중요했다.	중요/NNG+하/XSA+았/EP+다/EF+./SF
혁명은	혁명/NNG+은/JX
몰고왔다.	몰/VV+고/EC+오/VX+았/EP+다/EF+./SF
지배층의	지배/NNG+층/XSN+의/JKG
과시욕을	과시욕/NNG+을/JKO
반영했던	반영/NNG+하/XSV+았/EP+던/ETM
상징이	상징/NNG+이/JKC
정치이념적	정치/NNG+이념/NNG+적/XSN
대변하게	대변/NNG+하/XSV+게/EC
허리를	허리/NNG+를/JKO
조였던	조이/VV+었/EP+던/ETM
코르셋을	코르셋/NNP+을/JKO
인체의	인체/NNG+의/JKG
표현하는	표현/NNG+하/XSV+는/ETM
옷감과	옷감/NNG+과/JC
바뀐다.	바뀌/VV+ㄴ다/EF+./SF
반동기에	반동기/NNG+에/JKB
통넓은	통넓/VV+은/ETM
치마(크리놀린)	치마/NNG+(/SS+크리놀린/NNG+)/SS
복고하기도	복고/NNG+하/XSV+기/ETN+도/JX
대중화는	대중/NNG+화/XSN+는/JX
기성복과	기성복/NNG+과/JC
노출패션이	노출/NNG+패션/NNG+이/JKS
20세기초의	20/SN+세기/NNG+초/NNB+의/JKG
아방가르드로	아방가르드/NNG+로/JKB
계승된다.	계승/NNG+되/XSV+ㄴ다/EF+./SF
옷과	옷/NNG+과/JC
갈등관계였던	갈등/NNG+관계/NNG+이/VCP+었/EP+던/ETM
역사에서	역사/NNG+에서/JKB
얽매려는	얽매/VV+려는/ETM
시도도	시도/NNG+도/JX
보이려는	보이/VV+려는/ETM
인간욕망을	인간/NNG+욕망/NNG+을/JKO
어쩌지	어쩌/VV+지/EC
감각의	감각/NNG+의/JKG
확장을	확장/NNG+을/JKO
시도해온	시도/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
인류사의	인류사/NNG+의/JKG
셈이랄까.	셈/NNB+이/VCP+랄까/EF+./SF
여덟권짜리	여덟/NR+권/NNB+짜리/XSN
의상학자	의상/NNG+학자/NNG
잉그리트	잉그리트/NNP
로셰크가	로셰크/NNP+가/JKS
도판을	도판/NNG+을/JKO
추가해	추가/NNG+하/XSV+아/EC
2권으로	2/SN+권/NNB+으로/JKB
요약했다.	요약/NNG+하/XSV+았/EP+다/EF+./SF
이재원	이재원/NNP
천미수	천미수/NNP
1060자	1060/SN+자/NNG
조은수씨는	조은수/NNP+씨/NNB+는/JX
동화를	동화/NNG+를/JKO
글쓰는	글/NNG+쓰/VV+는/ETM
작가다.	작가/NNG+이/VCP+다/EF+./SF
어린이책	어린이/NNG+책/NNG
그림들과	그림/NNG+들/XSN+과/JKB
화풍과	화풍/NNG+과/JC
부담과	부담/NNG+과/JC
번거로움을	번거/XR+롭/XSA+ㅁ/ETN+을/JKO
기꺼이	기꺼이/MAG
않는다면	않/VX+는다면/EC
무시무시한	무시무시/XR+하/XSA+ㄴ/ETM
고독밖에	고독/NNG+밖에/JX
상대할	상대/NNG+하/XSV+ㄹ/ETM
거인이	거인/NNG+이/JKC
그렸다고	그리/VV+었/EP+다고/EC
꼴과	꼴/NNG+과/JC
지면에	지면/NNG+에/JKB
배치한	배치/NNG+하/XSV+ㄴ/ETM
단어와	단어/NNG+와/JC
문장들은	문장/NNG+들/XSN+은/JX
글쓴이가	글쓴이/NNG+가/JKS
강조하거나	강조/NNG+하/XSV+거나/EC
짚어주고	짚/VV+어/EC+주/VX+고/EC
대목들을	대목/NNG+들/XSN+을/JKO
돋보이게	돋보이/VV+게/EC
글들을	글/NNG+들/XSN+을/JKO
그렸음직한	그리/VV+었/EP+음직/EC+하/VX+ㄴ/ETM
순수함,	순수/NNG+하/XSA+ㅁ/ETN+,/SP
원시미술이	원시/NNG+미술/NNG+이/JKS
내뿜는	내뿜/VV+는/ETM
생명력,	생명력/NNG+,/SP
재료와	재료/NNG+와/JC
기법,	기법/NNG+,/SP
기발하고	기발/XR+하/XSA+고/EC
유쾌한	유쾌/XR+하/XSA+ㄴ/ETM
형상들로	형상/NNG+들/XSN+로/JKB
(이솝이야기)는	(/SS+이솝이야기/NNP+)/SS+는/JX
우화지만	우화/NNG+이/VCP+지만/EC
녹여놓은	녹이/VV+어/EC+놓/VX+은/ETM
동물들을	동물/NNG+들/XSN+을/JKO
솜씨,	솜씨/NNG+,/SP
감상을	감상/NNG+을/JKO
뜯어볼	뜯어보/VV+ㄹ/ETM
최석태씨는	최석태/NNP+씨/NNB+는/JX
바탕에서	바탕/NNG+에서/JKB
암시가	암시/NNG+가/JKS
배려된	배려/NNG+되/XSV+ㄴ/ETM
색채	색채/NNG
배열에	배열/NNG+에/JKB
보여지고	보이/VV+어/EC+지/VX+고/EC
자극하는	자극/NNG+하/XSV+는/ETM
그림이라고	그림/NNG+이/VCP+라고/EC
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF
그리는	그리/VV+는/ETM
부럽게	부럽/VA+게/EC
바라보던	바라보/VV+던/ETM
출판계도	출판/NNG+계/XSN+도/JX
조은수씨	조은수/NNP+씨/NNB
하나둘	하나/NR+둘/NR
잡아가는	잡아가/VV+는/ETM
단계로	단계/NNG+로/JKB
접어들고	접어들/VV+고/EC
정승각,	정승각/NNP+,/SP
이억배씨	이억배/NNP+씨/NNB
선배들과	선배/NNG+들/XSN+과/JKB
화풍으로	화풍/NNG+으로/JKB
출판사에	출판사/NNG+에/JKB
1042자	1042/SN+자/NNG
읽어요	읽/VV+어요/EC
김장성	김장성/NNP
생겨난	생겨나/VV+ㄴ/ETM
어린이들.	어린이/NNG+들/XSN+./SF
넘어가면서	넘어가/VV+면서/EC
남겨놓은	남기/VV+어/EC+놓/VX+은/ETM
인식의	인식/NNG+의/JKG
아닌가?	아니/VCN+ㄴ가/EF+?/SF
사물을	사물/NNG+을/JKO
과학적	과학/NNG+적/XSN
인식보다는	인식/NNG+보다/JKB+는/JX
인식으로	인식/NNG+으로/JKB
어린이한테	어린이/NNG+한테/JKB
해와	해/NNG+와/JC
달의	달/NNG+의/JKG
운행을	운행/NNG+을/JKO
지식으로	지식/NNG+으로/JKB
아쉽다.	아쉽/VA+다/EF+./SF
사물에	사물/NNG+에/JKB
나을	낫/VA+을/ETM
같고,	같/VA+고/EC+,/SP
촉발시킬	촉발/NNG+시키/XSV+ㄹ/ETM
신화	신화/NNG
열어주는	열/VV+어/EC+주/VX+는/ETM
창조	창조/NNG
근대에	근대/NNG+에/JKB
신화보다	신화/NNG+보다/JKB
우세했다.	우세/NNG+하/XSA+았/EP+다/EF+./SF
사계절,	사계절/NNP+,/SP
한겨레	한겨레/NNP
무속이나	무속/NNG+이나/JC
민담에서	민담/NNG+에서/JKB
뽑아낸	뽑아내/VV+ㄴ/ETM
출판되고	출판/NNG+되/XSV+고/EC
창조되었을까?	창조/NNG+되/XSV+었/EP+을까/EF+?/SF
어린이들	어린이/NNG+들/XSN
세계,	세계/NNG+,/SP
신화도	신화/NNG+도/JX
선택하였고,	선택/NNG+하/XSV+았/EP+고/EC+,/SP
흥미롭게	흥미/NNG+롭/XSA+게/EC
민화의	민화/NNG+의/JKG
되살려낸	되살리/VV+어/EC+내/VX+ㄴ/ETM
삽화들이	삽화/NNG+들/XSN+이/JKS
시원하고	시원/XR+하/XSA+고/EC
아름답다.	아름답/VA+다/EF+./SF
수탉과	수탉/NNG+과/JC
용,	용/NNG+,/SP
친근감이	친근감/NNG+이/JKS
거인	거인/NNG
장길손,	장길손/NNP+,/SP
넓혀주는	넓히/VV+어/EC+주/VX+는/ETM
설문대	설문대/NNP
할망은	할망/NNG+은/JX
푸근한	푸근/XR+하/XSA+ㄴ/ETM
감돌기에	감돌/VV+기/ETN+에/JKB
넉넉하다.	넉넉/XR+하/XSA+다/EF+./SF
미륵님은	미륵/NNP+님/XSN+은/JX
금쟁반과	금/NNG+쟁반/NNG+과/JC
은쟁반,	은쟁반/NNG+,/SP
벌레로	벌레/NNG+로/JKB
만들었지?	만들/VV+었/EP+지/EF+?/SF
미륵님이라면	미륵/NNP+님/XSN+이/VCP+라면/EC
